"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11"
"X2007",-39.5906891197235,-4.17124550065177,9.71156332518403,8.59034125334864,2.474491491342,1.11695731083237,-6.06041784474465,2.24401934366141,-0.354491549773377,-0.664878249035844,1.07882452970998e-14
"X2008",-33.4625492838576,-3.66305429314306,6.87340312242463,4.7630228366498,1.97815552024723,0.917043690884826,5.02457857288034,-5.34415511333112,-0.60338106465012,0.261634696682417,1.3091958073197e-14
"X2009",-37.5143539075485,0.186788412839253,-2.39249071825457,-2.52322133249207,-3.56802417422939,-3.59514036372281,2.1669461536004,2.15731071456035,4.5232041269133,1.31776214560129,7.67268193424542e-15
"X2010",-29.5019841688857,-0.33254876871821,-6.2798780955679,-4.68945395649368,-2.52599420607966,-4.41705558767218,2.49940613257338,2.63684883624832,-4.0745220714634,-1.44095537171041,9.38051719634458e-15
"X2011",-9.56844809253882,8.63095011659988,-13.8810040072841,-2.444137003558,-0.220987859438302,-0.788996399413128,-5.11338989957235,-4.18010967113205,0.576220219799769,-1.10703087236282,1.00788518156425e-14
"X2012",0.82025170936686,0.247100484091662,-2.87490702081981,-5.97556514682414,2.63431789084605,5.98727960490231,-0.926896115858639,0.725549275368406,-1.49181505928794,4.61035917280584,1.03153705195702e-14
"X2013",11.0808789028495,0.691967350178193,0.249756896907652,-6.25895753853391,4.50867828781318,8.5090824685881,2.19018153287766,1.52582388608135,1.35739023812132,-3.26999534287397,1.22616760495076e-14
"X2014",30.0554571225616,16.1882780296078,15.4051565146192,-6.91984362192433,-0.68324263997052,-4.56716285608609,-0.799093771900687,-0.490766658600387,-0.185245061692566,0.0689065829938983,1.53929332388086e-14
"X2015",33.799021555772,12.8473926970144,-6.13020946028845,15.2022517550996,-1.12748006983479,0.949074562493021,2.32764058801562,1.58824036472263,-0.148958499291383,0.381272862744224,1.23095977855314e-14
"X2016",41.3210408141696,-15.9103723789378,-3.12666060112019,0.363161769990775,8.35415661262629,-6.6177557298646,-0.141717755871958,0.0454095683765819,0.51088154297836,0.156747803931368,7.64579372036778e-15
"X2017",32.5613744678346,-14.7152561488804,2.44527004419952,-0.107599015262673,-11.8240708533221,2.50667329905817,-1.16723759199913,-0.90817054595545,-0.109282821653978,-0.313823428776004,1.13832554493598e-14
