Date,GoogleTrendsInterest
2008-01,0.02
2008-02,0.02
2008-03,0.02
2008-04,0.02
2008-05,0.02
2008-06,0.02
2008-07,0.02
2008-08,0.12
2008-09,0.03
2008-10,0.02
2008-11,0.02
2008-12,0.01
2009-01,0.02
2009-02,0.02
2009-03,0.02
2009-04,0.02
2009-05,0.02
2009-06,0.02
2009-07,0.02
2009-08,0.01
2009-09,0.02
2009-10,0.03
2009-11,0.02
2009-12,0.02
2010-01,0.02
2010-02,0.04
2010-03,0.05
2010-04,0.03
2010-05,0.03
2010-06,0.03
2010-07,0.03
2010-08,0.02
2010-09,0.03
2010-10,0.03
2010-11,0.02
2010-12,0.02
2011-01,0.03
2011-02,0.05
2011-03,0.1
2011-04,0.13
2011-05,0.05
2011-06,0.1
2011-07,0.06
2011-08,0.04
2011-09,0.05
2011-10,0.05
2011-11,0.07
2011-12,0.06
2012-01,0.15
2012-02,0.12
2012-03,0.14
2012-04,0.17
2012-05,0.27
2012-06,0.3
2012-07,0.94
2012-08,1.0
2012-09,0.11
2012-10,0.04
2012-11,0.03
2012-12,0.03
2013-01,0.02
2013-02,0.02
2013-03,0.02
2013-04,0.02
2013-05,0.02
2013-06,0.02
2013-07,0.02
2013-08,0.01
2013-09,0.02
2013-10,0.01
2013-11,0.01
2013-12,0.01
2014-01,0.02
2014-02,0.03
2014-03,0.01
2014-04,0.01
2014-05,0.02
2014-06,0.01
2014-07,0.01
2014-08,0.01
2014-09,0.01
2014-10,0.01
2014-11,0.01
2014-12,0.01
2015-01,0.01
2015-02,0.01
2015-03,0.01
2015-04,0.01
2015-05,0.01
2015-06,0.01
2015-07,0.01
2015-08,0.01
2015-09,0.01
2015-10,0.01
2015-11,0.01
2015-12,0.01
2016-01,0.01
2016-02,0.01
2016-03,0.01
2016-04,0.01
2016-05,0.01
2016-06,0.01
2016-07,0.02
2016-08,0.15
2016-09,0.01
2016-10,0.01
2016-11,0.01
2016-12,0.01
2017-01,0.01
2017-02,0.01
2017-03,0.01
2017-04,0.01
2017-05,0.01
2017-06,0.01
2017-07,0.01
2017-08,0.01
2017-09,0.01
2017-10,0.01
2017-11,0.01
2017-12,0.01
2018-01,0.01
2018-02,0.02
2018-03,0.01
2018-04,0.01
2018-05,0.01
2018-06,0.01
2018-07,0.01
2018-08,0.0
2018-09,0.01
2018-10,0.01
2018-11,0.0
2018-12,0.0
